MDC,DC,DRG,RW0D,RW,WTLOS,OT,MDF,DRGNAME
00,0001,00019,24.5333,55.315,28.51,86,1.0,Liver transplant
00,0002,00029,35.2437,79.4635,49.14,147,1.0,Heart and/or lung transplant
00,0004,00049,21.7442,49.0264,36.28,109,1.0,Bone marrow transplant
00,0006,00060,3.2898,4.3287,9.96,30,0.58,Trach w other proc for upper airway conditions wo sig CCC
00,0006,00061,5.373,7.9014,12.65,38,0.18,Trach w other proc for upper airway conditions w min CCC
00,0007,00070,2.182,2.5975,7.14,21,0.79,Trach for upper airway conditions wo sig CCC
00,0007,00071,4.0423,5.3188,10.96,33,0.45,Trach for upper airway conditions w min CCC
00,0009,00099,4.4198,8.4995,19.57,59,1.0,Laryngectomy
00,0010,00100,0.0,22.4104,46.25,139,0.62,Tracheostomy w mech vent 96+ hr wo sig CCC
00,0010,00101,0.0,25.6231,57.23,172,1.0,Tracheostomy w mech vent 96+ hr w min CCC
00,0010,00102,0.0,31.5235,63.96,192,1.0,Tracheostomy w mech vent 96+ hr w mod CCC
00,0010,00103,0.0,36.6793,69.9,210,1.0,Tracheostomy w mech vent 96+ hr w maj CCC
00,0011,00110,0.0,16.1588,41.17,124,0.77,Tracheostomy wo sig CCC
00,0011,00111,0.0,19.6146,51.74,155,0.91,Tracheostomy w min CCC
00,0011,00112,0.0,23.3369,60.36,181,1.0,Tracheostomy w mod CCC
00,0012,00120,0.0,36.2746,53.26,160,1.0,Tracheostomy or trach status w major procedure wo sig CCC
00,0012,00121,0.0,47.6127,67.78,203,1.0,Tracheostomy or trach status w major procedure w min CCC
00,0013,00130,0.0,21.6115,54.2,163,0.54,Tracheostomy status w mech vent 96+ hr wo sig CCC
00,0013,00131,0.0,25.3646,68.18,205,0.61,Tracheostomy status w mech vent 96+ hr w min CCC
00,0013,00132,0.0,29.4345,82.28,247,0.95,Tracheostomy status w mech vent 96+ hr w mod CCC
01,0101,01010,3.4956,4.1615,7.23,22,1.0,Craniotomy  for trauma wo sig CCC
01,0101,01011,4.8159,5.7331,8.73,26,1.0,Craniotomy  for trauma w min CCC
01,0101,01012,5.6882,8.365,14.15,42,1.0,Craniotomy  for trauma w mod CCC
01,0102,01020,3.9989,4.7605,8.21,25,1.0,Craniotomy  except for trauma wo sig CCC
01,0102,01021,5.2771,6.9435,10.81,32,1.0,Craniotomy  except for trauma w min CCC
01,0102,01022,6.2279,9.1586,14.15,42,1.0,Craniotomy  except for trauma w mod CCC
01,0102,01023,6.8069,13.0901,20.61,62,1.0,Craniotomy  except for trauma w maj CCC
01,0103,01030,3.8994,5.1308,10.27,31,0.81,Spinal procedures wo sig CCC
01,0103,01031,4.3825,7.3042,15.96,48,0.77,Spinal procedures w min CCC
01,0103,01032,5.343,12.1431,29.26,88,1.0,Spinal procedures w mod CCC
01,0104,01040,2.1506,2.5603,6.49,19,0.88,Ventricular shunt revision wo sig CCC
01,0104,01041,3.6304,4.7767,11.7,35,1.0,Ventricular shunt revision w min CCC
01,0105,01050,3.4009,3.7372,4.82,14,1.0,Extracranial vascular procedures wo sig CCC
01,0105,01051,6.0485,7.2006,8.29,25,1.0,Extracranial vascular procedures w min CCC
01,0106,01060,1.6792,1.8453,3.78,11,1.0,Peripheral & cranial nerve & other NS proc wo sig CCC
01,0106,01061,2.7162,3.2336,6.76,20,1.0,Peripheral & cranial nerve & other NS proc w min CCC
01,0106,01062,4.7924,7.0477,12.89,39,1.0,Peripheral & cranial nerve & other NS proc w mod CCC
01,0107,01079,0.5065,0.5065,1.53,5,1.0,Carpal tunnel release
01,0108,01089,8.6333,14.3888,15.63,47,1.0,Intracranial vasc proc for PDx intracranial h'ge
01,0109,01090,6.9631,8.2894,6.48,19,0.88,Intracranial vascular procedures wo sig CCC
01,0109,01091,7.4348,10.9335,12.8,38,1.0,Intracranial vascular procedures w min CCC
01,0112,01129,7.0436,11.7393,15.14,45,1.0,Craniotomy (multiple) for trauma
01,0113,01139,7.3334,16.6668,26.28,79,1.0,Craniotomy (multiple)
01,0114,01149,12.5963,14.9956,7.25,22,1.0,Endovascular procedures for neurologic diseases
01,0117,01179,8.5645,19.4648,23.42,70,1.0,Plasmapheresis for neurologic diseases
01,0150,01500,1.0148,1.3353,9.15,27,0.5,Spinal disorders (non-traumatic) wo sig CCC
01,0150,01501,1.5759,3.5816,23.46,70,1.0,Spinal disorders (non-traumatic) w min CCC
01,0150,01502,2.3881,5.4276,27.95,84,1.0,Spinal disorders (non-traumatic) w mod CCC
01,0151,01510,0.9028,1.0748,6.46,19,0.61,Cerebral palsy wo sig CCC
01,0151,01511,1.6659,2.192,11.37,34,1.0,Cerebral palsy w min CCC
