CODE,MDC,PDC,CC,MAINCC,CCROW,DCLMAIN,HIV_AX,TRAUMA,SEX,ACCPDX,AGEDUSE,AGEMIN,AGEMAX,AGEDMIN,MOSDX
A000,06,6G,True,A000,99,A000,,N,B,Y,N,0,124,0,0.0
A001,06,6G,True,A000,99,A000,,N,B,Y,N,0,124,0,0.0
A009,06,6G,True,A000,99,A000,,N,B,Y,N,0,124,0,0.0
A010,18,18H,True,A010,99,A010,,N,B,Y,N,0,124,0,0.0
A011,18,18H,True,A010,99,A011,,N,B,Y,N,0,124,0,0.0
A012,18,18H,True,A010,99,A011,,N,B,Y,N,0,124,0,0.0
A013,18,18H,True,A010,99,A011,,N,B,Y,N,0,124,0,0.0
A014,18,18H,True,A010,99,A011,,N,B,Y,N,0,124,0,0.0
A020,06,6G,True,A020,99,A020,D,N,B,Y,N,0,124,0,0.0
A021,18,18A,True,A021,99,A021,D,N,B,Y,N,0,124,0,0.0
A022,18,18H,True,A022,99,A022,D,N,B,Y,N,0,124,0,0.0
A028,18,18H,False,,0,,D,N,B,Y,N,0,124,0,0.0
A029,18,18H,False,,0,,D,N,B,Y,N,0,124,0,0.0
A030,06,6G,True,A000,99,A030,,N,B,Y,N,0,124,0,0.0
A031,06,6G,True,A000,99,A030,,N,B,Y,N,0,124,0,0.0
A032,06,6G,True,A000,99,A030,,N,B,Y,N,0,124,0,0.0
A033,06,6G,True,A000,99,A030,,N,B,Y,N,0,124,0,0.0
A038,06,6G,True,A000,99,A030,,N,B,Y,N,0,124,0,0.0
A039,06,6G,True,A000,99,A039,,N,B,Y,N,0,124,0,0.0
A040,06,6G,True,A040,99,A040,,N,B,Y,N,0,124,0,0.0
A041,06,6G,True,A040,99,A040,,N,B,Y,N,0,124,0,0.0
A042,06,6G,True,A040,99,A040,,N,B,Y,N,0,124,0,0.0
A043,06,6G,True,A040,99,A040,,N,B,Y,N,0,124,0,0.0
A044,06,6G,False,,0,,,N,B,Y,N,0,124,0,0.0
A045,06,6G,True,A045,99,A040,,N,B,Y,N,0,124,0,0.0
A046,06,6G,True,A046,99,A040,,N,B,Y,N,0,124,0,0.0
A047,06,6G,True,A045,99,A047,,N,B,Y,N,0,124,0,0.0
A048,06,6G,True,A045,99,A048,,N,B,Y,N,0,124,0,0.0
A049,06,6G,False,,0,,,N,B,Y,N,0,124,0,0.0
A050,06,6G,True,A050,99,A050,,N,B,Y,N,0,124,0,0.0
A051,18,18H,True,A051,99,A051,,N,B,Y,N,0,124,0,0.0
A052,06,6G,True,A050,99,A051,,N,B,Y,N,0,124,0,0.0
A053,06,6G,True,A050,99,A051,,N,B,Y,N,0,124,0,0.0
A054,06,6G,True,A050,99,A051,,N,B,Y,N,0,124,0,0.0
A058,06,6G,True,A050,99,A051,,N,B,Y,N,0,124,0,0.0
A059,06,6G,True,A050,99,A059,,N,B,Y,N,0,124,0,0.0
A060,06,6G,True,A060,99,A060,,N,B,Y,N,0,124,0,0.0
A061,06,6G,True,A060,99,A061,,N,B,Y,N,0,124,0,0.0
A062,06,6G,True,A060,99,A061,,N,B,Y,N,0,124,0,0.0
A063,18,18H,True,A063,99,A061,,N,B,Y,N,0,124,0,0.0
A064,07,7D,True,A064,99,A064,,N,B,Y,N,0,124,0,0.0
A065,04,4C,False,,0,,,N,B,Y,N,0,124,0,0.0
A066,01,1K,False,,0,,,N,B,Y,N,0,124,0,0.0
A067,09,9C,True,A067,99,A067,,N,B,Y,N,0,124,0,0.0
A068,18,18H,True,A063,99,A068,,N,B,Y,N,0,124,0,0.0
A069,18,18H,False,,0,,,N,B,Y,N,0,124,0,0.0
A070,06,6G,True,A060,99,A070,,N,B,Y,N,0,124,0,0.0
A071,06,6G,True,A060,99,A070,,N,B,Y,N,0,124,0,0.0
A072,06,6G,True,A072,99,A070,D,N,B,Y,N,0,124,0,0.0
A073,06,6G,True,A072,99,A070,D,N,B,Y,N,0,124,0,0.0
A078,06,6G,True,A072,99,A070,,N,B,Y,N,0,124,0,0.0
A079,06,6G,False,,0,,,N,B,Y,N,0,124,0,0.0
A080,06,6G,True,A080,99,A080,,N,B,Y,N,0,124,0,0.0
A081,06,6G,True,A080,99,A080,,N,B,Y,N,0,124,0,0.0
A082,06,6G,True,A080,99,A080,,N,B,Y,N,0,124,0,0.0
A083,06,6G,True,A080,99,A080,,N,B,Y,N,0,124,0,0.0
A084,06,6G,True,A080,99,A080,,N,B,Y,N,0,124,0,0.0
A085,06,6G,False,,0,,,N,B,Y,N,0,124,0,0.0
A090,06,6G,True,A090,99,A090,D,N,B,Y,N,0,124,0,0.0
A099,06,6G,True,A090,99,A099,D,N,B,Y,N,0,124,0,0.0
A150,04,4C,True,A150,99,A150,D,N,B,Y,N,0,124,0,0.0
